tag,year,n,auc
C_baseline,2018,12494,0.5125856810884664
C_baseline,2019,4038,0.4930487535626832
C_baseline,2020,3466,0.4805681114967578
C_baseline,2021,12878,0.4979155571941611
C_baseline,2022,21746,0.4939208370849407
C_baseline,2023,7724,0.49645167694398207
C_baseline,2024,11188,0.4726244003528045
C_baseline,2025,13708,0.5056076073300284
C_baseline,2026,8736,0.5217459111507511
A_expanded_hmm,2018,16713,0.49269606691973095
A_expanded_hmm,2019,10044,0.5264315419082074
A_expanded_hmm,2020,13139,0.5183954186088434
A_expanded_hmm,2021,19566,0.5050135355983495
A_expanded_hmm,2022,18759,0.5090185779902933
A_expanded_hmm,2023,8268,0.5195631841485382
A_expanded_hmm,2024,17326,0.47886262484499514
A_expanded_hmm,2025,13110,0.4941493313175691
A_expanded_hmm,2026,7003,0.46611623583077644
B_expanded_hmm_lr,2018,16713,0.5358165061904813
B_expanded_hmm_lr,2019,10044,0.55069074884201
B_expanded_hmm_lr,2020,13139,0.5419624485740699
B_expanded_hmm_lr,2021,19566,0.5265719892421424
B_expanded_hmm_lr,2022,18759,0.5130358803118417
B_expanded_hmm_lr,2023,8268,0.5155467079418341
B_expanded_hmm_lr,2024,17326,0.5211195515993938
B_expanded_hmm_lr,2025,13110,0.4969587104124006
B_expanded_hmm_lr,2026,7003,0.4902198455722095
