config,feature,importance,rank
RF-5,confidence,0.029341341639411725,10
RF-5,stay_prob,0.25078065772440883,1
RF-5,log1p_duration,0.064415523655142,6
RF-5,margin,0.031179902395782926,9
RF-5,hh_strength,0.0027225958899900165,16
RF-5,hl_strength,0.0021398439586082793,18
RF-5,lh_strength,0.0014479924270957808,19
RF-5,ll_strength,0.00374253711243316,14
RF-5,structure_direction,0.045264890618904936,8
RF-5,structure_consistency,0.028093757994892988,11
RF-5,bos_up,0.004532547098914147,13
RF-5,bos_down,0.007649105360522616,12
RF-5,choch_up,0.0024024755117281467,17
RF-5,choch_down,0.0031560694829814557,15
RF-5,pullback_ratio,0.11491799907269101,4
RF-5,impulse_strength,0.12539392568414717,3
RF-5,distance_from_last_swing_high,0.12659057950328664,2
RF-5,distance_from_last_swing_low,0.09965527830163724,5
RF-5,trend_structure_age,0.056572976567421,7
RF-3,confidence,0.02449069116627028,9
RF-3,stay_prob,0.2987871596133962,1
RF-3,log1p_duration,0.0668496001587871,6
RF-3,margin,0.024233330057106196,10
RF-3,hh_strength,0.0030508721622448903,16
RF-3,hl_strength,0.0018507494475806425,18
RF-3,lh_strength,0.0009754468905496842,19
RF-3,ll_strength,0.005240725135910949,13
RF-3,structure_direction,0.04329262845909562,8
RF-3,structure_consistency,0.020183491823068885,11
RF-3,bos_up,0.004648593654865178,15
RF-3,bos_down,0.010964893689905093,12
RF-3,choch_up,0.0018544146267748388,17
RF-3,choch_down,0.005011283204860966,14
RF-3,pullback_ratio,0.09880846499279128,4
RF-3,impulse_strength,0.10992942381246239,3
RF-3,distance_from_last_swing_high,0.13494337956701521,2
RF-3,distance_from_last_swing_low,0.09384640113554801,5
RF-3,trend_structure_age,0.05103845040176666,7
