fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
0,RF-7,0,,,,
1,RF-7,4184,1768.0,0.5227060317993164,0.6498090993238939,0.49958774870242206
2,RF-7,5952,1228.0,0.7314515113830566,0.6660336734619395,0.5952635983263599
3,RF-7,7180,705.0,0.6898074150085449,0.6702205847981815,0.5080711420424339
4,RF-7,7885,827.0,0.9436910152435303,0.6708063920643103,0.5434137848222862
5,RF-7,8712,1557.0,0.7653331756591797,0.6702801064914468,0.5498595270184191
6,RF-7,10269,510.0,0.8860156536102295,0.6666296189555847,0.5121998967769492
7,RF-7,10779,260.0,1.164766788482666,0.6668671982185244,0.5243055555555555
8,RF-7,11039,2091.0,0.9902615547180176,0.6672870626157996,0.5334529875369954
9,RF-7,13130,3548.0,1.1334176063537598,0.660937156865467,0.5590366641537575
10,RF-7,16678,415.0,1.3590154647827148,0.6565567453664626,0.5392156862745098
11,RF-7,17093,64.0,1.653520107269287,0.6538009251065365,0.4434434434434434
12,RF-7,17157,246.0,1.4936950206756592,0.6560834844466816,0.6640583554376658
13,RF-7,17403,191.0,1.5297462940216064,0.6565012175392292,0.48753180661577605
14,RF-7,17594,549.0,1.6362624168395996,0.6567790261636681,0.43925033467202146
15,RF-7,18143,748.0,1.5374691486358643,0.6561493850353628,0.40184470184470183
16,RF-7,18891,889.0,1.7470653057098389,0.6556580685900937,0.5581322840063647
17,RF-7,19780,228.0,1.8810231685638428,0.6593062405393763,0.4221359223300971
18,RF-7,20008,183.0,1.7128522396087646,0.6554791141126067,0.6761074800290486
19,RF-7,20191,233.0,1.747129201889038,0.6560965546572337,0.5046998180715585
20,RF-7,20424,181.0,2.038175344467163,0.6546760193273434,0.4985063480209111
21,RF-7,20605,111.0,1.9851102828979492,0.6555158448535079,0.3516233766233766
22,RF-7,20716,115.0,1.7866110801696777,0.655410839315844,0.4715269086357947
23,RF-7,20831,98.0,1.8481779098510742,0.6535061741069748,0.605340008343763
24,RF-7,20929,1703.0,1.8978056907653809,0.6532748949628526,0.501925805098312
25,RF-7,22632,310.0,2.035365104675293,0.6533965611272964,0.5297017189079878
26,RF-7,22942,259.0,2.0735223293304443,0.6552548935139878,0.5526605504587156
27,RF-7,23201,65.0,2.10164475440979,0.6542740388947099,0.6530214424951267
28,RF-7,23266,59.0,2.015601396560669,0.6542152029510688,0.6892857142857143
29,RF-7,23325,77.0,2.1978368759155273,0.6532585665574168,0.46119402985074626
30,RF-7,23402,99.0,2.1560888290405273,0.6528850243303952,0.49845679012345673
31,RF-7,23501,46.0,2.281919479370117,0.6526699669742646,0.5612745098039216
32,RF-7,23547,299.0,2.2442922592163086,0.653284066275754,0.6528535078153399
33,RF-7,23846,336.0,2.1147327423095703,0.6531082264330075,0.5470862036864643
34,RF-7,24182,2351.0,2.218132257461548,0.6526028266058527,0.5242616815638398
35,RF-7,26533,1051.0,2.3588647842407227,0.650815716681018,0.5686029134383797
36,RF-7,27584,292.0,2.5174567699432373,0.6508021223006456,0.4521739130434782
37,RF-7,27876,294.0,2.563394069671631,0.6518811860115012,0.44167296548248935
38,RF-7,28170,1998.0,2.52174973487854,0.6539181311741271,0.5027397766122985
39,RF-7,30168,714.0,2.7377450466156006,0.6578166862855925,0.5635124487866373
40,RF-7,30882,195.0,2.920253038406372,0.6562271625395235,0.5332838668645326
41,RF-7,31077,120.0,3.0719797611236572,0.6553095179926214,0.5503783353245719
42,RF-7,31197,326.0,3.1106150150299072,0.6555206451752754,0.5171523280912735
43,RF-7,31523,2538.0,3.1910324096679688,0.6566778577849421,0.5018842949269566
44,RF-7,34061,165.0,3.3811328411102295,0.6503252288367696,0.3911290322580645
45,RF-7,34226,2834.0,3.343809127807617,0.6495894745083434,0.49487710660101675
46,RF-7,37060,2574.0,3.896003484725952,0.650754450528374,0.5503899861275022
47,RF-7,39634,2300.0,4.05026650428772,0.6507978588345498,0.49774169330620943
48,RF-7,41934,2056.0,4.617984771728516,0.6566987679799484,0.552141216724912
49,RF-7,43990,1635.0,4.562539577484131,0.6571410303152214,0.6491574185784039
50,RF-7,45625,2290.0,5.204511880874634,0.6495522912107728,0.5340740462388293
51,RF-7,47915,2340.0,5.672132968902588,0.6457426471971225,0.5504853247391325
52,RF-7,50255,2850.0,5.975135087966919,0.6434963877021135,0.4962433627792978
53,RF-7,53105,1657.0,5.998606204986572,0.6355138225936501,0.481392494015215
54,RF-7,54762,2084.0,6.334888219833374,0.6345576823585397,0.48404276525929985
55,RF-7,56846,706.0,7.147278070449829,0.6325475761273518,0.5108581083799332
56,RF-7,57552,1028.0,7.137078046798706,0.6361799167308783,0.484637621150779
57,RF-7,58580,226.0,7.264431476593018,0.6356384150918949,0.5106149627888759
58,RF-7,58806,724.0,7.383012056350708,0.6357380179752286,0.46070582058784926
59,RF-7,59530,931.0,7.314517021179199,0.6359197325634052,0.4961268223324008
60,RF-7,60461,1608.0,7.444834232330322,0.634137856173628,0.5041653323679972
61,RF-7,62069,717.0,7.656049966812134,0.6352384852880076,0.5023340775319667
62,RF-7,62786,649.0,8.024895191192627,0.6369986283712514,0.46078711100966296
63,RF-7,63435,820.0,8.925293922424316,0.6354531194885362,0.5664435519857206
