year,n,auc,pr_auc,log_loss,config
2018,12494,0.5019173846861849,0.421961361333126,0.682305681880542,LR (baseline)
2019,4038,0.47886802015174024,0.41763861899969235,0.6877012678438039,LR (baseline)
2020,3466,0.48428915435736,0.4347578603098978,0.6906513540855637,LR (baseline)
2021,12878,0.49857190162124415,0.45173445248738814,0.688813551015424,LR (baseline)
2022,21746,0.4950795483105363,0.4777057384501582,0.6950100444733541,LR (baseline)
2023,7724,0.4943466940668792,0.5096135890042114,0.6979438305118406,LR (baseline)
2024,11188,0.471548892380652,0.47442562063248617,0.6936248193024662,LR (baseline)
2025,13708,0.5049216563354219,0.492420694983347,0.6940284540145499,LR (baseline)
2026,8736,0.5221278838836454,0.49870826238199173,0.6930700339958841,LR (baseline)
2018,12494,0.5348185129119538,0.45061228123040126,0.6800624458860202,RF-current
2019,4038,0.48381789169443223,0.40937536311449996,0.6897903997284623,RF-current
2020,3466,0.5304356014744263,0.47838285919212065,0.6859348314995434,RF-current
2021,12878,0.5135409534343417,0.4600421747787836,0.6911404768538154,RF-current
2022,21746,0.5288954257908334,0.5043778576125115,0.6927607089111067,RF-current
2023,7724,0.488363472225762,0.48989438716656825,0.7026188545055397,RF-current
2024,11188,0.5083694141808327,0.47644816808748075,0.6935416330172093,RF-current
2025,13708,0.4759888408247917,0.4709782690565968,0.6960222633845962,RF-current
2026,8736,0.5127017994880181,0.49506299001408405,0.6929281520287596,RF-current
2018,12494,0.5206050398722877,0.4366264004451086,0.680478288252342,RF-1
2019,4038,0.48717095359479745,0.41634596434972077,0.6841541332217141,RF-1
2020,3466,0.5265739769150052,0.4612144970318677,0.6870674983460741,RF-1
2021,12878,0.5057628074579961,0.4500563555591315,0.6890974129194619,RF-1
2022,21746,0.5262117641054338,0.4989298643850544,0.6930730587657782,RF-1
2023,7724,0.49343759767026657,0.494433111522655,0.7000487397036324,RF-1
2024,11188,0.5000822417166261,0.47516482790007303,0.6936510792343439,RF-1
2025,13708,0.4733164275309392,0.4739716408010759,0.6951236591558251,RF-1
2026,8736,0.501438874084503,0.4933879997466028,0.6934351759660505,RF-1
2018,12494,0.5297958761920994,0.4448908687661336,0.6799175850773489,RF-2
2019,4038,0.49048462526594677,0.41370717714761207,0.6853860230160362,RF-2
2020,3466,0.5282804638523422,0.4640093839507265,0.6864860693449267,RF-2
2021,12878,0.5078180991785515,0.454402486169481,0.6899346832559196,RF-2
2022,21746,0.5288744394956213,0.501880368171483,0.6925069267348807,RF-2
2023,7724,0.49016563535807844,0.4894714334419711,0.701139412214714,RF-2
2024,11188,0.5018020084572379,0.4747790251561325,0.6935722445527296,RF-2
2025,13708,0.47348786737352455,0.47018922827003073,0.6955061505486556,RF-2
2026,8736,0.5073482030710524,0.4931255706152011,0.6931878323040566,RF-2
2018,12494,0.5299658416891824,0.44491451633741963,0.6798048316049047,RF-3
2019,4038,0.49445225001003573,0.41853168795121287,0.6841288485579807,RF-3
2020,3466,0.5425047757419217,0.4895180107668142,0.6845111130538635,RF-3
2021,12878,0.507281370517975,0.4540407259529266,0.6897695556939797,RF-3
2022,21746,0.5279555329126111,0.4983661405927437,0.6927190396834939,RF-3
2023,7724,0.4915997869865982,0.49271647178911254,0.7009902815504647,RF-3
2024,11188,0.5040681180213098,0.4772067413051454,0.693515104813468,RF-3
2025,13708,0.4723752117235214,0.4707735297183098,0.6955060965596513,RF-3
2026,8736,0.5093473195624577,0.49462441827990633,0.6931169651196668,RF-3
2018,12494,0.5358509397074781,0.4511197622679054,0.6796966101125625,RF-4
2019,4038,0.48783770221990286,0.4131177456535525,0.6875995795729177,RF-4
2020,3466,0.5256302634057094,0.46910383310488957,0.6864205635761597,RF-4
2021,12878,0.5127495947377354,0.4613225347149469,0.6908342912113424,RF-4
2022,21746,0.5280488655844143,0.5022230316749792,0.692921885505395,RF-4
2023,7724,0.4901893109660318,0.4914084034917363,0.7023213614532666,RF-4
2024,11188,0.5065477489616863,0.4774968888766971,0.6936060972454805,RF-4
2025,13708,0.4766438977295335,0.47020283115240236,0.6960746552980112,RF-4
2026,8736,0.5121100668798386,0.4952188750748807,0.6929252668629671,RF-4
2018,12494,0.5321733444248231,0.4487821933515954,0.6796268693698659,RF-5
2019,4038,0.4949674591545904,0.4227012843459278,0.6845271425880364,RF-5
2020,3466,0.5393746468641537,0.4807359634754096,0.6841228584932085,RF-5
2021,12878,0.5099352165592794,0.4552807773051068,0.6906104562079134,RF-5
2022,21746,0.5283246358399086,0.4984874143101496,0.6929092235102818,RF-5
2023,7724,0.489926934256928,0.49212348811904827,0.7021192512608446,RF-5
2024,11188,0.5080242612744165,0.4767885330989189,0.6934723530728699,RF-5
2025,13708,0.4796717740353038,0.4722916859594564,0.6958807397053206,RF-5
2026,8736,0.514760278024129,0.4955650404616971,0.6928077367960459,RF-5
2018,12494,0.5326363565995376,0.44946356281835376,0.6801762737631052,RF-6
2019,4038,0.4911714453454297,0.41102657064755155,0.6877688521425718,RF-6
2020,3466,0.5298551134070547,0.4677322213907287,0.6857715740743657,RF-6
2021,12878,0.5112726795687346,0.45903744113493306,0.6910918256169567,RF-6
2022,21746,0.5271356906238147,0.4993281853166231,0.6941121877385422,RF-6
2023,7724,0.4878321459758844,0.49007502486280496,0.7024294412604424,RF-6
2024,11188,0.5088947567370952,0.4724363652553485,0.6934849324760537,RF-6
2025,13708,0.47207529845692214,0.46964736863349765,0.6958200591328209,RF-6
2026,8736,0.5059306982738441,0.48986271995747704,0.6930346954608935,RF-6
2018,12494,0.5377617973613611,0.45430524795377625,0.6796297494647353,RF-7
2019,4038,0.4934664907069166,0.41514022439553827,0.6864551606545872,RF-7
2020,3466,0.53568538622972,0.4769469164879498,0.6834173097075635,RF-7
2021,12878,0.5105781253962401,0.45897669993510537,0.6928243547941838,RF-7
2022,21746,0.523300786190506,0.49623155625071097,0.6952691080493825,RF-7
2023,7724,0.4885774916732954,0.4920666831715333,0.7037733110452491,RF-7
2024,11188,0.5109231938178795,0.48021690410067475,0.6936660964712404,RF-7
2025,13708,0.4743343143360159,0.4713401486096277,0.6967093013159347,RF-7
2026,8736,0.5156955973080257,0.4934323028641323,0.6927696069850438,RF-7
