fold,pool_train_rows,n_eligible,rf_fold_auc,lr_fold_auc
0,0,,,
1,4184,1768.0,0.5205057850346021,0.5683742430795848
2,5952,1228.0,0.5024435146443514,0.4931938633193863
3,7180,705.0,0.5333317223269377,0.5117361815926409
4,7885,827.0,0.5229616954851104,0.4533201248799232
5,8712,1557.0,0.4729908005283662,0.5061469501605884
6,10269,510.0,0.5113812312018367,0.5451600847140899
7,10779,260.0,0.40373563218390807,0.37482040229885066
8,11039,2091.0,0.5186210699783107,0.5112362871848686
9,13130,3548.0,0.4992370483856586,0.5380576023605133
10,16678,415.0,0.5760462787265443,0.5359740670461733
11,17093,64.0,0.41791791791791794,0.6416416416416416
12,17157,246.0,0.5720490716180371,0.6639920424403184
13,17403,191.0,0.5660941475826972,0.6566793893129771
14,17594,549.0,0.5518942436412315,0.5807028112449799
15,18143,748.0,0.43522451022451025,0.4316781066781067
16,18891,889.0,0.5376376166516148,0.541551090181912
17,19780,228.0,0.5024077669902913,0.3912621359223301
18,20008,183.0,0.537763253449528,0.49225369160009685
19,20191,233.0,0.47722104305639784,0.5949060036385688
20,20424,181.0,0.5083395568832461,0.4840054767239233
21,20605,111.0,0.5568181818181819,0.4086038961038961
22,20716,115.0,0.5702440550688361,0.30350438047559447
23,20831,98.0,0.5408844388819358,0.5056320400500626
24,20929,1703.0,0.43027495335563426,0.5666683226796498
25,22632,310.0,0.5679558476575666,0.4720677451971689
26,22942,259.0,0.539480122324159,0.3859021406727829
27,23201,65.0,0.4537037037037037,0.4074074074074074
28,23266,59.0,0.2648809523809524,0.4351190476190476
29,23325,77.0,0.3746268656716418,0.8455223880597014
30,23402,99.0,0.34850823045267487,0.434156378600823
31,23501,46.0,0.5698529411764706,0.6384803921568628
32,23547,299.0,0.4898900399854598,0.5826517629952744
33,23846,336.0,0.5583131632843046,0.5227704338112084
34,24182,2351.0,0.47175023617469664,0.4891257902768694
35,26533,1051.0,0.4050883607556368,0.46335531470357794
36,27584,292.0,0.4841316629820683,0.5747973470891673
37,27876,294.0,0.6392794154698916,0.5983119173595365
38,28170,1998.0,0.49229867360346785,0.5895879256988175
39,30168,714.0,0.5308501418216199,0.5286164513079104
40,30882,195.0,0.5452618189527242,0.5479648081407674
41,31077,120.0,0.5141377937076862,0.5065710872162486
42,31197,326.0,0.5621916435399322,0.5609582176996608
43,31523,2538.0,0.5090877051337862,0.5260213663099709
44,34061,165.0,0.38403524492234165,0.4123357228195938
45,34226,2834.0,0.47259016852808133,0.487679136143469
46,37060,2574.0,0.4949012061382926,0.5023267163961297
47,39634,2300.0,0.4893014233992056,0.48215983120217
48,41934,2056.0,0.48660451930735976,0.4783333950439712
49,43990,1635.0,0.5700073046675029,0.49239895459430655
50,45625,2290.0,0.5349701564991192,0.5458688051633129
51,47915,2340.0,0.5837744490196997,0.4836336331945159
52,50255,2850.0,0.5039053683781226,0.49119986695861856
53,53105,1657.0,0.5429767344213347,0.5075447656092817
54,54762,2084.0,0.47113502617893277,0.4868613930511554
55,56846,706.0,0.5204167840045058,0.4539727239811723
56,57552,1028.0,0.4648950282173967,0.5026913875598086
57,58580,226.0,0.554406580493537,0.4371327849588719
58,58806,724.0,0.4546142383978135,0.4681176316175506
59,59530,931.0,0.4934631471068886,0.5613984064112862
60,60461,1608.0,0.448244681756231,0.4586661344942119
61,62069,717.0,0.5032005745421617,0.4681737990039187
62,62786,649.0,0.5090162063455832,0.5527847523396485
63,63435,820.0,0.592381377361297,0.3814666071694184
64,64255,330.0,0.4142957564097821,0.5490399200858338
65,64585,417.0,0.35899231921163227,0.5763006618037776
66,65002,316.0,0.541485682110682,0.5174951737451737
67,65318,0.0,,
68,65318,0.0,,
69,65318,1212.0,0.4818679294204342,0.4562671433835069
70,66530,0.0,,
71,66530,0.0,,
72,66530,0.0,,
73,66530,0.0,,
74,66530,1408.0,0.5211749626579468,0.48812119010132815
75,67938,0.0,,
76,67938,1778.0,0.5694404349499615,0.4435661541266561
77,69716,1798.0,0.5224678297451126,0.4765132392972037
78,71514,1341.0,0.5927172500934312,0.4490821483867523
79,72855,1086.0,0.5180045559635522,0.48326193390452876
80,73941,2007.0,0.4866221018112624,0.4342183406460481
81,75948,1770.0,0.4571742705834169,0.567457225949569
82,77718,1604.0,0.4931017323422387,0.4968105620004354
83,79322,1496.0,0.515409835479448,0.5480305979981516
84,80818,1819.0,0.5153008775494408,0.520891385115523
85,82637,1386.0,0.47909437112003755,0.48806093171266113
86,84023,1008.0,0.43555873754549257,0.439464630193107
87,85031,658.0,0.48071491410844097,0.49339260082418857
88,85689,660.0,0.5197326455334609,0.5161457322202808
89,86349,541.0,0.567751899841452,0.6034798534798536
90,86890,366.0,0.5120379118032486,0.5815682808642917
91,87256,1332.0,0.4686634552064446,0.5015448386602077
92,88588,1836.0,0.5092755539047751,0.517948876170495
93,90424,1002.0,0.5274976003839384,0.4471284594464886
94,91426,945.0,0.4942950340099428,0.5124598431414777
95,92371,1950.0,0.4696842018886027,0.5335649901530071
96,94321,2015.0,0.508202484297124,0.5218680026259056
97,96336,970.0,0.555176169749265,0.48587195622667834
98,97306,557.0,0.5256317689530685,0.607787519339866
99,97863,1670.0,0.43050163146760373,0.5424748108573273
100,99533,629.0,0.6086396723372332,0.4496745676108599
