fold,pool_train_rows,n_eligible,rf_fold_auc,lr_fold_auc
0,0,,,
1,4184,1768.0,0.5185364403114187,0.5341938797577854
2,5952,1228.0,0.5845662482566248,0.5502956764295677
3,7180,705.0,0.5309877080212009,0.532695374800638
4,7885,827.0,0.591156340057637,0.5253362151777138
5,8712,1557.0,0.5393374637083526,0.5030743132245757
6,10269,510.0,0.5045471533574187,0.5145669081136878
7,10779,260.0,0.5086206896551724,0.4982638888888889
8,11039,2091.0,0.5127096411851862,0.509007319659623
9,13130,3548.0,0.5442986957191378,0.5361675705033113
10,16678,415.0,0.5388467214842927,0.5277777777777779
11,17093,64.0,0.49949949949949946,0.5975975975975976
12,17157,246.0,0.6576259946949603,0.6193633952254641
13,17403,191.0,0.4674300254452926,0.41552162849872776
14,17594,549.0,0.45903614457831327,0.5038554216867469
15,18143,748.0,0.41944801944801946,0.4079293579293579
16,18891,889.0,0.568894336214682,0.5653732851675053
17,19780,228.0,0.32365048543689323,0.5137087378640777
18,20008,183.0,0.6550472040668119,0.4869281045751634
19,20191,233.0,0.5650394178289873,0.5491206791995148
20,20424,181.0,0.4637789395070948,0.3588498879761016
21,20605,111.0,0.31785714285714284,0.3334415584415585
22,20716,115.0,0.45713391739674597,0.4940550688360451
23,20831,98.0,0.5394242803504381,0.5373383395911556
24,20929,1703.0,0.5029904834453902,0.5167160710539971
25,22632,310.0,0.5101533535557803,0.5123019885406135
26,22942,259.0,0.5823853211009173,0.5945565749235475
27,23201,65.0,0.550682261208577,0.6588693957115009
28,23266,59.0,0.7380952380952381,0.5726190476190476
29,23325,77.0,0.482089552238806,0.48059701492537305
30,23402,99.0,0.49434156378600813,0.2536008230452675
31,23501,46.0,0.463235294117647,0.4264705882352941
32,23547,299.0,0.6161395856052344,0.5161759360232643
33,23846,336.0,0.5223980636752933,0.4299757959411655
34,24182,2351.0,0.5346748056100574,0.49210813167647693
35,26533,1051.0,0.560020748092046,0.5205776094715766
36,27584,292.0,0.4284450994841562,0.4956521739130435
37,27876,294.0,0.46077097505668935,0.4106827916351726
38,28170,1998.0,0.49897168623967453,0.5372495761090659
39,30168,714.0,0.5512054837693036,0.5181058934762055
40,30882,195.0,0.5332838668645326,0.4868560525757897
41,31077,120.0,0.4986061330147352,0.4524093986459578
42,31197,326.0,0.555581251927228,0.5471014492753623
43,31523,2538.0,0.5109906658432631,0.5657257003148507
44,34061,165.0,0.41517323775388293,0.4375746714456392
45,34226,2834.0,0.4990417717465274,0.5064699171370242
46,37060,2574.0,0.5387070541439168,0.535145982152859
47,39634,2300.0,0.5171688825922698,0.5172967826697665
48,41934,2056.0,0.5516836086102479,0.51704305408795
49,43990,1635.0,0.6495466016830673,0.505644651875713
50,45625,2290.0,0.541266701892453,0.5264457974077604
51,47915,2340.0,0.565210302512751,0.47531848065134996
52,50255,2850.0,0.5088347792344577,0.5174973173947647
53,53105,1657.0,0.499883365942272,0.4694491665038649
54,54762,2084.0,0.49778543010498466,0.5692561882324144
55,56846,706.0,0.48593957436536994,0.5225167960735406
56,57552,1028.0,0.4870721383879278,0.5274697889829469
57,58580,226.0,0.508264786525656,0.6128476302389345
58,58806,724.0,0.46794005697829727,0.5295121329802428
59,59530,931.0,0.4984765808935545,0.5456240940272739
60,60461,1608.0,0.5033516035562734,0.5126367752824459
61,62069,717.0,0.5112566548531638,0.5449953942951711
62,62786,649.0,0.45948413604199956,0.4403199421745415
63,63435,820.0,0.5544370072884129,0.49751598988546786
64,64255,330.0,0.4027525990602686,0.3962410744015687
65,64585,417.0,0.4377566301144872,0.47529104874160666
66,65002,316.0,0.4839929214929215,0.46215411840411835
67,65318,0.0,,
68,65318,0.0,,
69,65318,1212.0,0.4646569958651182,0.5015406869635229
70,66530,0.0,,
71,66530,0.0,,
72,66530,0.0,,
73,66530,0.0,,
74,66530,1408.0,0.4779762625650963,0.43573937265350615
75,67938,0.0,,
76,67938,1778.0,0.5750703982820793,0.5286277906081601
77,69716,1798.0,0.508888888888889,0.5053662459787182
78,71514,1341.0,0.5392189140609707,0.4811802601840153
79,72855,1086.0,0.5085271317829457,0.5616959064327485
80,73941,2007.0,0.5232093449145019,0.5060401898061617
81,75948,1770.0,0.44921570679410705,0.5246398943681534
82,77718,1604.0,0.5098746617733959,0.5005256119180169
83,79322,1496.0,0.42822359635526996,0.48692041052373775
84,80818,1819.0,0.47297689539068843,0.49693293084097684
85,82637,1386.0,0.4738776148990558,0.4477166258020763
86,84023,1008.0,0.5095400035797387,0.4869836724141359
87,85031,658.0,0.5173588924387647,0.4662962448488216
88,85689,660.0,0.4836601307189542,0.5286906841944699
89,86349,541.0,0.45421245421245426,0.43734623585369853
90,86890,366.0,0.4957181604851736,0.6131411330874958
91,87256,1332.0,0.43385609771499195,0.40917701821330954
92,88588,1836.0,0.44327571291766094,0.4551079329630153
93,90424,1002.0,0.5819508878579427,0.5173852183650616
94,91426,945.0,0.5274995961880149,0.45805739514348787
95,92371,1950.0,0.47246944907337274,0.5031255786160346
96,94321,2015.0,0.5361409103800622,0.5026933382519481
97,96336,970.0,0.5529743138080832,0.5215058567240638
98,97306,557.0,0.513898916967509,0.5921222279525529
99,97863,1670.0,0.4816278819606296,0.5275642726523002
100,99533,629.0,0.5799184898315051,0.503578742472475
