fold,n_train,n_oos_eligible,train_auc,oos_auc
1,4184,1768,0.7765106066130718,0.5185364403114187
2,5952,1228,0.7654524976448134,0.5845662482566248
3,7180,705,0.7470392405650951,0.5309877080212009
4,7885,827,0.7457016025024404,0.591156340057637
5,8712,1557,0.732155504839852,0.5393374637083526
6,10269,510,0.7289288311074928,0.5045471533574187
7,10779,260,0.7319631424681827,0.5086206896551724
8,11039,2091,0.7269093549102359,0.5127096411851862
9,13130,3548,0.7282512122805385,0.5442986957191378
10,16678,415,0.7305965858510761,0.5388467214842927
11,17093,64,0.7261211187781031,0.49949949949949946
12,17157,246,0.7262755987311073,0.6576259946949603
13,17403,191,0.730189806944193,0.4674300254452926
14,17594,549,0.7267191660604466,0.45903614457831327
15,18143,748,0.7322326292650291,0.41944801944801946
16,18891,889,0.7268152955596985,0.568894336214682
17,19780,228,0.7241375507672735,0.32365048543689323
18,20008,183,0.7210070995393407,0.6550472040668119
19,20191,233,0.7193660211468157,0.5650394178289873
20,20424,181,0.7220762726963482,0.4637789395070948
21,20605,111,0.722054468989496,0.31785714285714284
22,20716,115,0.7215792340797464,0.45713391739674597
23,20831,98,0.7199670925256954,0.5394242803504381
24,20929,1703,0.7213382604988492,0.5029904834453902
25,22632,310,0.7203545779945382,0.5101533535557803
26,22942,259,0.7177222585602374,0.5823853211009173
27,23201,65,0.7168029338690511,0.550682261208577
28,23266,59,0.7141813431181567,0.7380952380952381
29,23325,77,0.7155685945608982,0.482089552238806
30,23402,99,0.712462334351089,0.49434156378600813
31,23501,46,0.7121806561522624,0.463235294117647
32,23547,299,0.712488640798286,0.6161395856052344
33,23846,336,0.7154793124561102,0.5223980636752933
34,24182,2351,0.7130943115164625,0.5346748056100574
35,26533,1051,0.7112506316828807,0.560020748092046
36,27584,292,0.7092212713281083,0.4284450994841562
37,27876,294,0.7133390027006843,0.46077097505668935
38,28170,1998,0.7124328396399748,0.49897168623967453
39,30168,714,0.7167589180843953,0.5512054837693036
40,30882,195,0.7153933812322868,0.5332838668645326
41,31077,120,0.7144782612259843,0.4986061330147352
42,31197,326,0.7183245348424485,0.555581251927228
43,31523,2538,0.7162966515386511,0.5109906658432631
44,34061,165,0.7021264030322848,0.41517323775388293
45,34226,2834,0.7041457788966139,0.4990417717465274
46,37060,2574,0.6985464983104037,0.5387070541439168
47,39634,2300,0.6963800126803933,0.5171688825922698
48,41934,2056,0.6992470042917238,0.5516836086102479
49,43990,1635,0.6989208908501169,0.6495466016830673
50,45625,2290,0.6836100100463636,0.541266701892453
51,47915,2340,0.6803023234217359,0.565210302512751
52,50255,2850,0.6742258930940934,0.5088347792344577
53,53105,1657,0.6664908130962074,0.499883365942272
54,54762,2084,0.6635169785679922,0.49778543010498466
55,56846,706,0.6618511447729961,0.48593957436536994
56,57552,1028,0.6637993501875079,0.4870721383879278
57,58580,226,0.6622130970219434,0.508264786525656
58,58806,724,0.6640758181804138,0.46794005697829727
59,59530,931,0.6617429367217553,0.4984765808935545
60,60461,1608,0.6591572172060465,0.5033516035562734
61,62069,717,0.6612071366363369,0.5112566548531638
62,62786,649,0.6624394544186191,0.45948413604199956
63,63435,820,0.6613005842151676,0.5544370072884129
64,64255,330,0.6628929304859656,0.4027525990602686
65,64585,417,0.6606171267351164,0.4377566301144872
66,65002,316,0.6613770598167343,0.4839929214929215
67,65318,0,0.6608481412098146,
68,65318,0,0.6608481412098146,
69,65318,1212,0.6608481412098146,0.4646569958651182
70,66530,0,0.6599964802342848,
71,66530,0,0.6599964802342848,
72,66530,0,0.6599964802342848,
73,66530,0,0.6599964802342848,
74,66530,1408,0.6599964802342848,0.4779762625650963
75,67938,0,0.6560346104425204,
76,67938,1778,0.6560346104425204,0.5750703982820793
77,69716,1798,0.6598050534406208,0.508888888888889
78,71514,1341,0.6607749521727437,0.5392189140609707
79,72855,1086,0.6582592733172956,0.5085271317829457
80,73941,2007,0.6580774340628164,0.5232093449145019
81,75948,1770,0.6531050213876536,0.44921570679410705
82,77718,1604,0.6536683443466134,0.5098746617733959
83,79322,1496,0.6503441953536824,0.42822359635526996
84,80818,1819,0.649284743551169,0.47297689539068843
85,82637,1386,0.6491185607651131,0.4738776148990558
86,84023,1008,0.6501735160066959,0.5095400035797387
87,85031,658,0.6520315135132434,0.5173588924387647
88,85689,660,0.647948209309529,0.4836601307189542
89,86349,541,0.6484493134014915,0.45421245421245426
90,86890,366,0.6506503811682356,0.4957181604851736
91,87256,1332,0.6499146612845783,0.43385609771499195
92,88588,1836,0.6481026186942568,0.44327571291766094
93,90424,1002,0.6476311685734923,0.5819508878579427
94,91426,945,0.6451828400449677,0.5274995961880149
95,92371,1950,0.6451728484131727,0.47246944907337274
96,94321,2015,0.6423759992588969,0.5361409103800622
97,96336,970,0.6416107639191287,0.5529743138080832
98,97306,557,0.6417481320470318,0.513898916967509
99,97863,1670,0.6416548240655411,0.4816278819606296
100,99533,629,0.6423441133291475,0.5799184898315051
