,Baseline,Vol-Adjusted,Difference
total_rows,923766.0,923766.0,0.0
usable_rows,405587.0,405349.0,-238.0
label_1,190643.0,190424.0,-219.0
label_0,214944.0,214925.0,-19.0
positive_pct,47.0042185770254,46.97778950978046,-0.02642906724494054
negative_pct,52.995781422974595,53.022210490219535,0.02642906724494054
nan_pct,56.09418402495871,56.11994812539106,0.025764100432354553
train_n,342759.0,341640.0,-1119.0
holdout_n,62798.0,63679.0,881.0
roc_auc,0.5249159076323912,0.5246689535145685,-0.00024695411782260646
pr_auc,0.5036347202740912,0.5020839135892724,-0.001550806684818773
accuracy,0.5201280295550814,0.5204227453320561,0.00029471577697470774
precision,0.5173232746577257,0.514865563598759,-0.0024577110589666384
recall,0.12187736563209689,0.12944847086353148,0.007571105231434588
f1,0.19727764311019952,0.20688222308791065,0.009604579977711136
balanced_accuracy,0.5076454543724267,0.5077050923141723,5.963794174557169e-05
brier,0.24987135512226397,0.24982278111198436,-4.857401027960617e-05
