state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive
0,Ranging / Low-Vol,15m,111106,-5.500135078072319e-06,-8.074362938259583e-07,0.0016092333599488362,0.4987579428653718
0,Ranging / Low-Vol,30m,111097,-2.785646159856713e-06,4.633382442165157e-07,0.002436709821529318,0.5002115268639117
0,Ranging / Low-Vol,1h,111080,9.370770082930075e-06,1.0490491067827179e-05,0.003703429720337389,0.5023496579042132
0,Ranging / Low-Vol,2h,111058,2.7513445810156944e-05,4.420957591921848e-05,0.005601690144208524,0.5056456986439518
0,Ranging / Low-Vol,4h,111003,4.810705230856331e-05,5.579503372921124e-05,0.008469585657474535,0.5056980441970037
1,Ranging / High-Vol,15m,47456,2.950756032394344e-05,5.553040134564924e-05,0.00791449000920673,0.5049730276466622
1,Ranging / High-Vol,30m,47443,6.439768093994033e-05,0.0001693545312519973,0.010836562803326434,0.5108235145332294
1,Ranging / High-Vol,1h,47417,0.00012661907104878726,0.00034497247196441094,0.01455998637376773,0.5176624417403041
1,Ranging / High-Vol,2h,47350,0.0002365493520025364,0.000628404886381162,0.01922538556230086,0.5224076029567054
1,Ranging / High-Vol,4h,47240,0.000263833201607999,0.0008607863805778493,0.025505353362151106,0.5224809483488569
2,Uptrend / Mid-Vol,15m,77618,0.00010942859923344826,-2.7888594249958487e-05,0.0031776430714871807,0.4938029838439537
2,Uptrend / Mid-Vol,30m,77612,0.00012338254380325287,-9.497759567356212e-05,0.004587203322362837,0.4873730866360872
2,Uptrend / Mid-Vol,1h,77600,0.00012583815720057842,-0.00021873037618291846,0.006703919120260631,0.47844072164948453
2,Uptrend / Mid-Vol,2h,77553,0.00013079926753569224,-0.00030081970037798555,0.009645280323872876,0.47916908436810957
2,Uptrend / Mid-Vol,4h,77458,0.0003056679277004806,-0.00030802137478769254,0.013595679946922425,0.48361692788349814
3,Downtrend / Mid-Vol,15m,73499,-9.19589267880955e-05,0.0001220110830377763,0.003259231414880533,0.518864202234044
3,Downtrend / Mid-Vol,30m,73485,-9.9175207061826e-05,0.00026309729305928897,0.004721078270338039,0.5313737497448459
3,Downtrend / Mid-Vol,1h,73456,-9.167503889556298e-05,0.0004607420249689298,0.006730980067306727,0.5442441733827053
3,Downtrend / Mid-Vol,2h,73424,-5.719370344923047e-05,0.0006921720655794772,0.009651811956153031,0.5497385051209414
3,Downtrend / Mid-Vol,4h,73348,-1.8342288293556777e-05,0.000922433851727078,0.013456189739313045,0.5496400719856028
