state,horizon,n,mean_ret,median_ret,std_ret,p_positive,p_gt_0.5pct,p_lt_-0.5pct,config,n_states_model,regime
0,5m,149204,7.778725055622616e-05,3.312250712816933e-06,0.0023510914476481547,0.5019972654888609,0.022559716897670303,0.015441945256159353,B,6,Uptrend / Mid-Vol
0,15m,149156,0.0001169773292946923,-3.135774531148883e-05,0.004052597503659758,0.4943012684705945,0.08194775939285044,0.06509292284587948,B,6,Uptrend / Mid-Vol
0,30m,149086,0.000123427950865195,-9.59035550831544e-05,0.00578586545808108,0.48980454234468696,0.13485505010530835,0.12286197228445327,B,6,Uptrend / Mid-Vol
0,1h,148966,9.246640128986212e-05,-0.00021839603009965458,0.008258500135395514,0.4826067693299142,0.19336627149819421,0.19262113502409947,B,6,Uptrend / Mid-Vol
0,2h,148630,8.012068323321966e-05,-0.0002934482767162905,0.011848140407449756,0.48387943214694207,0.2532194038888515,0.2609903787929758,B,6,Uptrend / Mid-Vol
0,4h,148080,0.00019616656062527028,-0.00035990931008278437,0.016418510154262652,0.4851431658562939,0.30898838465694217,0.31502566180443003,B,6,Uptrend / Mid-Vol
1,5m,197754,4.0900641633549336e-05,4.871811408513338e-06,0.0012712454922448485,0.5029582208198065,0.003559978559220041,0.001527149893301779,B,6,Ranging / Low-Vol
1,15m,197735,4.930560339107529e-05,-4.673543580935302e-05,0.0022920621925811707,0.48850228841631477,0.02022909449515766,0.012182972159708701,B,6,Ranging / Low-Vol
1,30m,197709,5.050922334701955e-05,-0.0001170221013264694,0.003398582026536034,0.4793711970623492,0.04953745150701283,0.03706963264191312,B,6,Ranging / Low-Vol
1,1h,197660,5.945579758047741e-05,-0.00020649241630454895,0.0050886021758520476,0.4731103915815036,0.09585146210664777,0.08522209855307093,B,6,Ranging / Low-Vol
1,2h,197565,8.059747072614703e-05,-0.0002823093789459108,0.007506801582439059,0.4729936982765166,0.15492116518614127,0.152992685951459,B,6,Ranging / Low-Vol
1,4h,197380,0.00019477386824219144,-0.00029115884946229187,0.011092555691861065,0.48044888033235383,0.22764211166278245,0.22757118249062722,B,6,Ranging / Low-Vol
2,5m,184414,-1.1823108905928265e-06,0.0,0.0006722025560438592,0.49610658626785387,0.0002928194171809082,0.00032535490797878686,B,6,Ranging / Low-Vol
2,15m,184406,-1.2866441026047229e-06,-1.6134297480263626e-06,0.0012841037416716245,0.4976898799388306,0.0028469789486242313,0.002825287680444237,B,6,Ranging / Low-Vol
2,30m,184394,3.1549603348457207e-06,1.5562840749439033e-06,0.0019590686488483527,0.5006616267340586,0.01065110578435307,0.010049133919758778,B,6,Ranging / Low-Vol
2,1h,184374,1.091073612462024e-05,1.205561384409748e-05,0.002987234361026883,0.5029451007191903,0.030199485827719745,0.02934253202729235,B,6,Ranging / Low-Vol
2,2h,184350,6.18282448640242e-06,1.8118894666407925e-05,0.0045668881173019085,0.5029346352047736,0.07017087062652563,0.06942229454841334,B,6,Ranging / Low-Vol
2,4h,184271,2.8907045403051317e-05,6.084085099899994e-05,0.007086040504959145,0.5071769296308155,0.13163221559550878,0.12669926358461178,B,6,Ranging / Low-Vol
3,5m,191894,-4.1310763758379026e-05,-9.655978772116214e-07,0.0013602809637387563,0.4982698781619019,0.001860402096991047,0.004236714019198099,B,6,Ranging / Low-Vol
3,15m,191874,-4.4925878406582675e-05,8.593835962233953e-05,0.002420493603335936,0.5187571010142072,0.01331081855801203,0.02471934707151568,B,6,Ranging / Low-Vol
