state,horizon,n,mean_ret,median_ret,std_ret,p_positive,p_gt_0.5pct,p_lt_-0.5pct,config,n_states_model,regime
0,5m,234502,7.456255686846183e-05,1.6146940897243667e-05,0.0017809540116750036,0.5062558101849878,0.010034029560515476,0.005611892435885408,C,4,Uptrend / Mid-Vol
0,15m,234462,0.00010537951379539426,-2.6004298327997333e-05,0.003127748626464397,0.49441274065733465,0.04645528913000827,0.03273451561447058,C,4,Uptrend / Mid-Vol
0,30m,234409,0.00011875816156354708,-0.00010293924224491491,0.004520364751446368,0.48633371585561985,0.09043594742522684,0.07454491935036624,C,4,Uptrend / Mid-Vol
0,1h,234321,0.00011921710577237982,-0.00019940408741092597,0.006625513338747348,0.47981188199094404,0.14606458661408922,0.13771706334472797,C,4,Uptrend / Mid-Vol
0,2h,234147,0.0001358474121395303,-0.00029862768718302846,0.009556522912783054,0.478964069580221,0.20828368503546918,0.20996211781487698,C,4,Uptrend / Mid-Vol
0,4h,233773,0.0003059856715378561,-0.00026427452094957005,0.013485603427202359,0.4861339846774435,0.2743730028703058,0.2739281268581059,C,4,Uptrend / Mid-Vol
1,5m,335120,-3.220571820831044e-07,0.0,0.0008526185887084304,0.4981349964191931,0.000683337312007639,0.000737049415134877,C,4,Ranging / Low-Vol
1,15m,335106,-1.1613957727381421e-06,0.0,0.0016073449200111369,0.4995792376143668,0.005502736447571813,0.005750419270320436,C,4,Ranging / Low-Vol
1,30m,335086,6.896659725649836e-08,5.2490129478499625e-06,0.0024155175994647177,0.5015966050506437,0.01779244731203333,0.018446010874820194,C,4,Ranging / Low-Vol
1,1h,335051,7.824632159126537e-06,1.7696235943276406e-05,0.0036224288166087646,0.5036098981946032,0.0459661364986226,0.046440691118665514,C,4,Ranging / Low-Vol
1,2h,334968,1.8870525669299682e-05,3.471727421722193e-05,0.005461465430599941,0.5046959709584199,0.09423288194693225,0.09398808244369611,C,4,Ranging / Low-Vol
1,4h,334775,5.8326049710522445e-05,6.402725444409896e-05,0.008262039797433639,0.5063968336942722,0.1624344709133,0.1575386453588231,C,4,Ranging / Low-Vol
2,5m,134264,1.9089994669436348e-05,3.302618670986135e-06,0.004898842028362894,0.5015640827027349,0.08991241136864685,0.08870583328367991,C,4,Ranging / High-Vol
2,15m,134212,5.97559271917812e-05,0.00011237481529491333,0.007966003983839636,0.5099916549935922,0.1816454564420469,0.17299496319256102,C,4,Ranging / High-Vol
2,30m,134129,0.00010525881134473211,0.00022637069151443256,0.010849305681368354,0.5145121487523205,0.24337018840071872,0.22559625435215352,C,4,Ranging / High-Vol
2,1h,133966,0.00016768317263314653,0.0003728704649388348,0.01458607599552573,0.5183852619321321,0.30016571368854783,0.2720018512159802,C,4,Ranging / High-Vol
2,2h,133624,0.00029824888479060356,0.0006977556948299934,0.019364377506904333,0.523783152727055,0.3516509010357421,0.3130425672034964,C,4,Ranging / High-Vol
2,4h,133107,0.0003950391323881044,0.0009439155886390438,0.025816715265196133,0.5251789913377959,0.39387109618577537,0.34979377493294866,C,4,Ranging / High-Vol
3,5m,213356,-8.209485557096807e-05,-9.375632819441648e-06,0.0019030198302058357,0.49551453908022275,0.006177468643956579,0.012781454470462514,C,4,Downtrend / Mid-Vol
3,15m,213329,-0.00011753807014539139,8.649291448037388e-05,0.003305329458342579,0.514360447946599,0.035086650197582135,0.05516362051104163,C,4,Downtrend / Mid-Vol
3,30m,213287,-0.00012915104126664086,0.0002303020335556738,0.004757038412573767,0.528902370983698,0.07914687721239456,0.10010924247610027,C,4,Downtrend / Mid-Vol
3,1h,213185,-0.00011354895458256876,0.0004277137721224733,0.0067929244503633305,0.5400755212608767,0.14755728592536999,0.152562328494031,C,4,Downtrend / Mid-Vol
3,2h,213044,-8.276092679596441e-05,0.0006835774456748211,0.00971956328228172,0.5481168209383978,0.22493475526182385,0.20516888530068905,C,4,Downtrend / Mid-Vol
3,4h,212761,-9.251867338660388e-05,0.0009005471642105078,0.01357201450309303,0.5471068475895489,0.29590479458171376,0.25885383129426914,C,4,Downtrend / Mid-Vol
