state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive
0,Bearish,15m,35463,-2.9090659772849646e-05,7.710432445584559e-05,0.008215241995341646,0.5074584778501536
0,Bearish,30m,35454,-6.582006864047303e-06,0.0002718786916320326,0.011308374194761309,0.5170643650927963
0,Bearish,1h,35435,9.90688412629522e-05,0.0006438708372566992,0.015230881084600825,0.5321574714265557
0,Bearish,2h,35403,0.00023717559698623392,0.0010617990982044745,0.02013664998067985,0.5395587944524476
0,Bearish,4h,35344,0.00018679431310846144,0.001382054943801947,0.026568437760932085,0.5392145767315527
1,Ranging,15m,244138,2.1393150825302577e-06,1.1462213778123953e-05,0.0026764144812017796,0.503366948201427
1,Ranging,30m,244113,8.320948427650392e-06,3.115511778695179e-05,0.0038431876513255964,0.5059869814389237
1,Ranging,1h,244061,1.919464336358949e-05,5.8573993614530195e-05,0.005549979438093188,0.5084712428450264
1,Ranging,2h,243959,5.0263588018201896e-05,0.00011994230158407504,0.008005188556507097,0.511909788120135
1,Ranging,4h,243757,0.00012257917717296938,0.00017884357337116796,0.011420240246438744,0.5133185918763359
2,Bullish,15m,30059,0.00010105921669716761,-4.2534639135283214e-06,0.004768503556286772,0.49728866562427226
2,Bullish,30m,30051,0.00010780793280595319,-6.615084860506215e-05,0.0067367514405471405,0.49322817876277
2,Bullish,1h,30038,6.281498584950129e-05,-0.00025221733146807424,0.009400589622215738,0.48228910047273454
2,Bullish,2h,30004,-1.5342801804872886e-05,-0.0003675294795684181,0.012977246333708772,0.48063591521130516
2,Bullish,4h,29929,0.00012017042956543331,-0.0005003202340851942,0.01786952343955557,0.4809048080457082
