state,regime,horizon,n,mean_ret,median_ret,std_ret,p_positive
0,Bearish,15m,49104,-0.00013105997301660394,0.0001476425417141769,0.004813072373494151,0.5164548712935809
0,Bearish,30m,49091,-0.00013213190015916795,0.0003183464560780891,0.0068029375455851545,0.5287323541993441
0,Bearish,1h,49062,-9.765148779451579e-05,0.0006507736015999299,0.009434524532706288,0.5451265745383392
0,Bearish,2h,49018,-6.7962691034786235e-06,0.0010301476370857543,0.012823849367570674,0.5533069484679097
0,Bearish,4h,48947,2.1860458177891112e-05,0.0013637302144537955,0.017610046415801568,0.5548450364680164
1,Ranging,15m,217539,1.0364629240197409e-05,6.396488675619594e-06,0.003707190255953761,0.5020800867890355
1,Ranging,30m,217516,1.960240084659742e-05,1.985168994345088e-05,0.005166609799810146,0.5039859136799132
1,Ranging,1h,217475,3.7184740478099825e-05,4.006059143257801e-05,0.007160788933405484,0.5061823198068743
1,Ranging,2h,217387,6.940882059086292e-05,8.842789270069318e-05,0.009852079116448007,0.5089678775639758
1,Ranging,4h,217222,0.00013381133755833847,0.00012953168328877496,0.01360803877036537,0.5099207262616126
2,Bullish,15m,43017,0.00015596724242783973,-2.871614102062381e-05,0.004025040826777015,0.4940604877141595
2,Bullish,30m,43011,0.0001688005554178702,-8.650915661689851e-05,0.005752251805484606,0.4903629304131501
2,Bullish,1h,42997,0.0001578303288080754,-0.0002673613313479706,0.008173665180918114,0.4794520547945205
2,Bullish,2h,42961,0.00012670098790091357,-0.00035280435726470216,0.011700492602861556,0.4805055748236773
2,Bullish,4h,42861,0.00023194515446653538,-0.00042713732667110094,0.015941218538583938,0.48183663470287674
