seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
44,-149379.31416889402,,1.8644256591796875,True,39,[],30m_hmm4,0
46,-149379.31312200066,,1.9833471775054932,True,42,[],30m_hmm4,0
45,-149379.3144614826,,2.1766304969787598,True,48,[],30m_hmm4,0
42,-149379.31260981975,,2.250339984893799,True,52,[],30m_hmm4,0
43,-149379.31174006205,,2.856569290161133,True,85,[],30m_hmm4,0
44,-177625.65162390785,,2.666585683822632,True,40,[],30m_hmm4,1
45,-177625.65123818174,,2.6629693508148193,True,43,[],30m_hmm4,1
46,-177625.65120421833,,2.752927780151367,True,43,[],30m_hmm4,1
43,-177625.6532444802,,2.7832069396972656,True,43,[],30m_hmm4,1
42,-177625.65317980447,,3.1718389987945557,True,58,[],30m_hmm4,1
45,-201223.15632802126,,2.3935067653656006,True,34,[],30m_hmm4,2
46,-201223.15811951697,,2.557842969894409,True,37,[],30m_hmm4,2
44,-201223.157468952,,2.855679988861084,True,44,[],30m_hmm4,2
43,-201228.17785331586,,3.009908437728882,True,47,[],30m_hmm4,2
42,-201230.82495389902,,3.2922921180725098,True,56,[],30m_hmm4,2
45,-224496.10103622611,,3.219386100769043,True,43,[],30m_hmm4,3
43,-187940.66021960994,,3.952181339263916,True,40,[],30m_hmm4,3
46,-187634.08003592363,,3.996690273284912,True,55,[],30m_hmm4,3
44,-187634.0824834113,,4.25657057762146,True,50,[],30m_hmm4,3
42,-187634.08063452985,,4.411869764328003,True,52,[],30m_hmm4,3
46,-245431.5073283892,,2.987299919128418,True,33,[],30m_hmm4,4
45,-205322.74816709058,,3.2968568801879883,True,31,[],30m_hmm4,4
44,-205509.90185623104,,4.283234119415283,True,46,[],30m_hmm4,4
43,-205509.9060629381,,4.570783853530884,True,51,[],30m_hmm4,4
42,-205509.90320253154,,5.819563865661621,True,83,[],30m_hmm4,4
45,-265649.7590218186,,3.1492650508880615,True,34,[],30m_hmm4,5
42,-222587.04229646345,,3.7549049854278564,True,44,[],30m_hmm4,5
46,-265649.76683045254,,3.9625566005706787,True,43,[],30m_hmm4,5
43,-221504.6134990172,,3.981741189956665,True,45,[],30m_hmm4,5
44,-222535.01146316685,,4.12960147857666,True,42,[],30m_hmm4,5
46,-288697.8874526184,,3.5548477172851562,True,38,[],30m_hmm4,6
42,-288697.8844429371,,4.120042085647583,True,38,[],30m_hmm4,6
43,-240536.73259814177,,4.159023761749268,True,35,[],30m_hmm4,6
45,-240639.0575649202,,4.4375786781311035,True,41,[],30m_hmm4,6
44,-240712.52839453222,,5.439605474472046,True,64,[],30m_hmm4,6
43,-255843.36559780312,,2.5474085807800293,True,19,[],30m_hmm4,7
44,-255976.74881394528,,4.008569717407227,True,37,[],30m_hmm4,7
45,-307793.543613855,,4.167665004730225,True,40,[],30m_hmm4,7
46,-307793.53878264554,,4.482682704925537,True,42,[],30m_hmm4,7
42,-307793.5426742616,,5.5563390254974365,True,63,[],30m_hmm4,7
42,-269889.1849384936,,3.2505156993865967,True,24,[],30m_hmm4,8
45,-269763.0058995045,,4.42375373840332,True,38,[],30m_hmm4,8
43,-269762.9606021122,,4.769278287887573,True,38,[],30m_hmm4,8
46,-269777.9040014777,,4.765781879425049,True,37,[],30m_hmm4,8
44,-267475.7798255116,,5.449026346206665,True,49,[],30m_hmm4,8
44,-287754.2586990768,,3.3866682052612305,True,26,[],30m_hmm4,9
46,-344748.5128894901,,4.311746597290039,True,32,[],30m_hmm4,9
43,-287681.4378216352,,4.700932741165161,True,37,[],30m_hmm4,9
45,-283191.7556108168,,5.743677377700806,True,50,[],30m_hmm4,9
42,-283191.75492882606,,5.98213529586792,True,51,[],30m_hmm4,9
45,-308047.14971909754,,4.136773347854614,True,22,[],30m_hmm4,10
46,-308045.3660023825,,4.141692161560059,True,27,[],30m_hmm4,10
44,-308043.8774164345,,4.6322243213653564,True,30,[],30m_hmm4,10
43,-308048.80184440454,,5.075654029846191,True,34,[],30m_hmm4,10
42,-372037.7584419061,,5.3248679637908936,True,41,[],30m_hmm4,10
42,-321864.90505778935,,3.5714266300201416,True,24,[],30m_hmm4,11
45,-321864.75974167197,,4.335791110992432,True,30,[],30m_hmm4,11
44,-318534.59832633095,,6.541043758392334,True,48,[],30m_hmm4,11
46,-389914.7917475676,,7.099771022796631,True,61,[],30m_hmm4,11
43,-389914.79323106725,,8.54347562789917,True,87,[],30m_hmm4,11
42,-333615.08851879364,,5.370527267456055,True,24,[],30m_hmm4,12
44,-329323.0723757188,,8.186710119247437,True,54,[],30m_hmm4,12
43,-329323.0717711889,,8.800818681716919,True,53,[],30m_hmm4,12
45,-329323.07231534773,,8.856732845306396,True,53,[],30m_hmm4,12
46,-404339.6924705365,,9.779541492462158,True,70,[],30m_hmm4,12
45,-344772.03633112495,,4.230927467346191,True,24,[],30m_hmm4,13
44,-344749.9478453084,,5.642775535583496,True,33,[],30m_hmm4,13
43,-344776.8826334874,,6.7684009075164795,True,46,[],30m_hmm4,13
42,-418116.1326239076,,9.272814273834229,True,69,[],30m_hmm4,13
46,-418148.58210892515,,11.537252426147461,True,100,[],30m_hmm4,13
44,-358528.2456404872,,4.863734722137451,True,27,[],30m_hmm4,14
45,-358527.26077449735,,6.282940864562988,True,35,[],30m_hmm4,14
42,-358529.31600272225,,6.296374320983887,True,33,[],30m_hmm4,14
