fold_id,model,timeframe,n_states,train_start,train_end,test_start,test_end,test_year,n_train,n_test,n_transitions,n_segments,transitions_per_1k_bars,transitions_per_day,transitions_per_hour,median_duration_minutes,mean_duration_minutes,min_duration_minutes,max_duration_minutes,pct_gt30m,pct_gt1h,pct_gt2h,pct_gt4h,pct_gt8h,pct_1bar,n_distinct_states_observed,n_distinct_labels_observed,n_distinct_labels_trained,max_state_occupancy_pct,state_occupancy,regime_labels_trained,train_ll,train_ll_per_obs,test_ll,test_ll_per_obs,best_seed,restart_spread,restart_spread_normalized,n_restarts_converged,n_restarts_failed,mean_stay_prob,median_stay_prob,trend_score_range,vol_score_range,fit_time_s,decode_time_s,failure_flags,status
0,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-02-28 20:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018,8469,1488,812,813,545.6989247311827,26.211163416274378,1.0921318090114325,30.0,54.90774907749078,30.0,570.0,43.91143911439114,16.482164821648215,4.428044280442804,0.8610086100861009,0.12300123001230012,56.08856088560885,6,4,4,39.784946236559136,"{0: 0.8064516129032258, 1: 39.784946236559136, 2: 5.577956989247312, 3: 31.317204301075268, 4: 17.06989247311828, 5: 5.443548387096774}","{0: 'Downtrend / High-Vol', 1: 'Ranging / Mid-Vol', 2: 'Uptrend / High-Vol', 3: 'Ranging / Low-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-119121.24155088677,-14.065561642565447,-20270.255843071976,-13.622483765505361,42,21128.51933332061,0.17736987172262497,5,0,0.6467436189059281,0.7360462574924733,2.0439568088846665,2.831859073376827,4.607428073883057,0.0,[],ok
1,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-03-31 20:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,2018,9957,1440,847,848,588.1944444444445,28.25295343988881,1.1772063933287005,30.0,50.943396226415096,30.0,270.0,42.924528301886795,15.44811320754717,2.5943396226415096,0.2358490566037736,0.0,57.07547169811321,6,5,5,45.55555555555556,"{0: 7.291666666666667, 1: 0.9027777777777777, 2: 5.069444444444445, 3: 0.6944444444444444, 4: 40.486111111111114, 5: 45.55555555555556}","{0: 'Downtrend / Mid-Vol', 1: 'Ranging / High-Vol', 2: 'Uptrend / Mid-Vol', 3: 'Downtrend / High-Vol', 4: 'Ranging / Low-Vol', 5: 'Ranging / Low-Vol'}",-139555.1245125566,-14.015780306573927,-14730.161934396581,-10.229279121108737,43,25859.04765156575,0.18529629593959526,5,0,0.6218606494507201,0.7016687787920024,1.979102439311182,2.7782128270919824,5.732715845108032,0.0,[],ok
2,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-04-30 20:00:00+00:00,2018-05-01 00:00:00+00:00,2018-06-01 00:00:00+00:00,2018,11397,1488,910,911,611.5591397849463,29.374579690652318,1.2239408204438467,30.0,49.00109769484084,30.0,240.0,42.700329308452254,15.587266739846322,0.9879253567508233,0.0,0.0,57.29967069154775,5,4,5,51.344086021505376,"{0: 2.486559139784946, 2: 10.483870967741936, 3: 51.344086021505376, 4: 3.024193548387097, 5: 32.66129032258064}","{0: 'Uptrend / Mid-Vol', 1: 'Ranging / High-Vol', 2: 'Downtrend / Mid-Vol', 3: 'Ranging / Low-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-153791.20373374803,-13.494007522483814,-12264.827467610583,-8.242491577695285,45,4608.825281424593,0.029968068195913536,5,0,0.5485596002820615,0.547055095726602,1.964088561194675,2.5114712292002848,6.778351306915283,0.015830039978027344,['missing_states(observed=5/6)'],ok
3,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-05-31 20:00:00+00:00,2018-06-01 00:00:00+00:00,2018-07-01 00:00:00+00:00,2018,12885,1371,818,819,596.6447848285923,27.285615010423903,1.1369006254343295,30.0,50.21978021978022,30.0,570.0,41.88034188034188,14.774114774114775,1.8315018315018317,0.4884004884004884,0.1221001221001221,58.119658119658126,6,5,5,45.80598103574033,"{0: 42.74252370532458, 1: 45.80598103574033, 2: 6.564551422319474, 3: 0.437636761487965, 4: 3.7928519328956964, 5: 0.6564551422319475}","{0: 'Ranging / Low-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / Mid-Vol', 3: 'Downtrend / High-Vol', 4: 'Uptrend / Mid-Vol', 5: 'Uptrend / High-Vol'}",-174610.10592440545,-13.551424596383814,-12335.600941006742,-8.997520744716807,46,33059.79210021949,0.18933492952883368,5,0,0.6314633036366355,0.7340043396886362,2.285739255001501,2.732881552607777,7.61953067779541,0.0060231685638427734,[],ok
4,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-06-30 20:00:00+00:00,2018-07-01 00:00:00+00:00,2018-08-01 00:00:00+00:00,2018,14256,1450,897,898,618.6206896551723,28.954942837928716,1.2064559515803632,30.0,48.44097995545657,30.0,240.0,40.645879732739424,14.253897550111358,1.670378619153675,0.0,0.0,59.354120267260576,6,5,5,47.44827586206897,"{0: 47.44827586206897, 1: 44.689655172413794, 2: 1.7931034482758619, 3: 3.6551724137931036, 4: 0.41379310344827586, 5: 2.0}","{0: 'Ranging / Low-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / High-Vol', 3: 'Uptrend / Mid-Vol', 4: 'Ranging / High-Vol', 5: 'Downtrend / Mid-Vol'}",-190423.85529213562,-13.357453373466303,-10139.369219898832,-6.992668427516436,43,35393.46986862697,0.1858667855155472,5,0,0.5888501836976573,0.5724332030158615,2.1641696785457256,2.600728407965959,8.358457088470459,0.007032632827758789,[],ok
5,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-07-31 20:00:00+00:00,2018-08-01 00:00:00+00:00,2018-09-01 00:00:00+00:00,2018,15706,1488,749,750,503.3602150537635,24.177538668459984,1.007397444519166,30.0,59.52,30.0,720.0,44.666666666666664,19.066666666666666,4.533333333333333,1.866666666666667,0.5333333333333333,55.333333333333336,6,5,5,36.02150537634409,"{0: 0.20161290322580644, 1: 36.02150537634409, 2: 22.043010752688172, 3: 6.518817204301075, 4: 32.93010752688172, 5: 2.28494623655914}","{0: 'Ranging / High-Vol', 1: 'Ranging / Mid-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / High-Vol', 4: 'Ranging / Low-Vol', 5: 'Uptrend / High-Vol'}",-203972.77281029013,-12.98693319815931,-12733.51718399698,-8.557471225804422,43,39485.46092818637,0.19358201775739348,5,0,0.6658016767739894,0.7696427214945083,1.8192329551369415,2.932206326238512,7.329709768295288,0.0040988922119140625,[],ok
6,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-08-31 20:00:00+00:00,2018-09-01 00:00:00+00:00,2018-10-01 00:00:00+00:00,2018,17194,1440,869,870,603.4722222222222,28.986796386379428,1.2077831827658096,30.0,49.6551724137931,30.0,330.0,42.64367816091954,14.827586206896552,1.3793103448275863,0.22988505747126436,0.0,57.35632183908046,6,5,5,47.43055555555556,"{0: 3.4027777777777777, 1: 44.93055555555556, 2: 1.9444444444444444, 3: 47.43055555555556, 4: 0.5555555555555556, 5: 1.7361111111111112}","{0: 'Downtrend / Mid-Vol', 1: 'Ranging / Low-Vol', 2: 'Uptrend / High-Vol', 3: 'Ranging / Low-Vol', 4: 'Ranging / High-Vol', 5: 'Downtrend / High-Vol'}",-220349.9281926651,-12.815512864526294,-8540.02457149712,-5.930572619095223,42,43851.778255471785,0.19900972337567344,5,0,0.657662221304967,0.7529404331446397,1.5355058651003912,2.881409079219737,11.366327047348022,0.007524251937866211,[],ok
7,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-09-30 20:00:00+00:00,2018-10-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,2018,18634,1458,865,866,593.278463648834,27.92199058507061,1.1634162743779422,30.0,50.508083140877595,30.0,390.0,43.99538106235566,16.74364896073903,1.5011547344110854,0.11547344110854503,0.0,56.004618937644345,6,4,4,50.06858710562414,"{0: 0.8916323731138546, 1: 1.02880658436214, 2: 50.06858710562414, 3: 0.8916323731138546, 4: 0.7544581618655692, 5: 46.36488340192044}","{0: 'Uptrend / Mid-Vol', 1: 'Downtrend / High-Vol', 2: 'Ranging / Low-Vol', 3: 'Ranging / High-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-233776.06120538997,-12.545672491434473,-6764.724923797154,-4.639729028667458,44,46972.25727333891,0.200928431384898,5,0,0.6117445975494321,0.6363082333707526,1.9859425973170195,2.6989440290021354,12.106974601745605,0.00577855110168457,[],ok
8,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-10-31 20:00:00+00:00,2018-11-01 00:00:00+00:00,2018-12-01 00:00:00+00:00,2018,20092,1403,420,421,299.3585174625802,14.009728978457261,0.5837387074357192,30.0,99.97624703087887,30.0,2430.0,49.4061757719715,26.365795724465556,12.351543942992874,5.7007125890736345,2.6128266033254155,50.5938242280285,6,4,4,39.34426229508197,"{0: 3.278688524590164, 1: 21.525302922309336, 2: 15.25302922309337, 3: 13.399857448325017, 4: 39.34426229508197, 5: 7.198859586600142}","{0: 'Ranging / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / High-Vol', 4: 'Ranging / Low-Vol', 5: 'Uptrend / High-Vol'}",-242936.64446331828,-12.091212644998919,-11967.371376910072,-8.529844174561704,42,50705.316070938425,0.20871826966637208,5,0,0.6778955224207438,0.7960967316912131,1.7025085217703495,3.0915904302602017,11.888740539550781,0.0,[],ok
9,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2018-11-30 20:00:00+00:00,2018-12-01 00:00:00+00:00,2019-01-01 00:00:00+00:00,2018,21495,1488,754,755,506.72043010752685,24.338937457969063,1.0141223940820443,30.0,59.12582781456954,30.0,630.0,44.370860927152314,20.397350993377483,6.225165562913907,1.1920529801324504,0.26490066225165565,55.62913907284768,6,5,5,35.685483870967744,"{0: 13.5752688172043, 1: 35.685483870967744, 2: 6.720430107526881, 3: 14.717741935483872, 4: 2.3521505376344085, 5: 26.948924731182792}","{0: 'Uptrend / Mid-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / High-Vol', 3: 'Downtrend / Mid-Vol', 4: 'Ranging / High-Vol', 5: 'Ranging / Low-Vol'}",-261024.46285854586,-12.143496760109135,-17726.236865497944,-11.912793592404531,46,50394.5591061303,0.19306450649968418,5,0,0.6226547595736306,0.6664642262559162,2.0081798547710843,2.7539487331808514,13.611457109451294,0.0,[],ok
