model,year,n_folds,n_oos_obs,mean_transitions_per_day,median_duration_minutes,mean_duration_minutes,mean_state_occupancy_max_pct,mean_test_ll_per_obs,mean_n_distinct_labels_observed
5m_hmm4,2018,10,87535,20.25003614804512,35.0,100.11204870306916,69.10139012520234,-14.623225381177312,4.0
5m_hmm4,2019,12,104472,15.100544479369319,50.0,104.97955564869648,56.4479678353122,-13.194329708600295,3.1666666666666665
5m_hmm4,2020,12,104779,16.98947536002505,45.0,86.70596054210029,52.49582324890192,-14.718479816931591,2.4166666666666665
5m_hmm4,2021,12,104624,20.77841184884838,45.0,72.91176483093705,53.571259087681646,-19.079619962053894,2.4166666666666665
5m_hmm4,2022,12,105120,27.429982424574543,30.0,57.24949191265497,46.62803975009956,-15.58041684905857,4.0
5m_hmm4,2023,12,105043,18.86604792179672,30.0,82.80111331387677,66.01909100899238,-12.668541059234384,3.8333333333333335
5m_hmm4,2024,12,105408,23.918051184668727,30.0,64.97903860204012,45.17114137450391,-14.955757800697405,3.5833333333333335
5m_hmm4,2025,12,105120,22.991592558949325,30.0,65.72516244879951,55.96442172299026,-13.96892347761334,4.0
5m_hmm4,2026,7,57307,25.738064996556584,30.0,58.74548991650767,49.998040689984954,-15.309160407245226,4.0
15m_hmm4,2018,10,29142,10.2554219748337,75.0,181.90276474825956,66.16411314682242,-12.255776353493776,4.0
15m_hmm4,2019,12,34781,11.120049215741092,60.0,153.27916471113585,58.12545666078585,-11.044242651177258,4.0
15m_hmm4,2020,12,34869,13.68799669319249,60.0,109.38982821648982,50.60591454028208,-12.487991918292304,4.0
15m_hmm4,2021,12,34832,16.1274944215663,60.0,89.12976439094426,37.031129379231494,-17.736223643570565,4.0
15m_hmm4,2022,12,35040,14.03884384461062,60.0,109.79741169333522,47.03056995647722,-13.52204294798436,4.0
15m_hmm4,2023,12,35007,10.649841601088134,60.0,144.62974629940186,66.54514934827388,-9.642602988297881,4.0
15m_hmm4,2024,12,35136,14.462610446079543,60.0,100.48853113993299,43.71205918098298,-12.613890782660384,4.0
15m_hmm4,2025,12,35040,12.893396275731403,60.0,113.80785304528062,52.11690881549753,-11.307839586504699,4.0
15m_hmm4,2026,7,19103,13.614830421390579,60.0,108.99347768613934,48.046698117143386,-12.455510555066203,4.0
30m_hmm6,2018,10,14514,25.951424647150446,30.0,57.22983335741026,43.84892389150029,-8.765485427707596,4.6
30m_hmm6,2019,12,17323,23.876269233590307,30.0,60.11060044641826,41.19171324827122,-7.178547597239503,4.333333333333333
30m_hmm6,2020,12,17343,24.841993543640015,30.0,58.08837831381581,40.00240131109601,-8.411456668116868,3.9166666666666665
30m_hmm6,2021,12,17348,22.591063028828287,30.0,67.7439848017252,36.49780074150902,-13.53854257611063,4.333333333333333
30m_hmm6,2022,12,17520,25.214648058599085,30.0,57.457252197743514,40.79586426864653,-9.282024649827738,4.25
30m_hmm6,2023,12,17492,23.55535034096845,30.0,62.53912028662905,42.116477737680235,-5.229901357593706,4.25
30m_hmm6,2024,12,17568,26.66335472710752,30.0,54.26611419520418,42.19785744448564,-7.6979992453715935,4.5
30m_hmm6,2025,12,17520,26.234349564517046,30.0,55.17418508262963,42.52657503413552,-6.646515453979345,4.333333333333333
30m_hmm6,2026,7,9552,27.925914537811668,30.0,51.95526453410032,43.50073452319996,-7.337708305047939,4.428571428571429
